language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,1000000,3,1,0.3,1337,1,5,402.057746600,23.131133357,10671.373973200,579.457554008,0.000000000,0.000000000,11073.431720000,601.370681487,33220.295160000,1804.112044462
cpp,v4,1000000,3,1,0.3,1337,1,5,435.212979800,18.261604050,10000.889893200,237.614230237,0.000000000,0.000000000,10436.102873333,234.624377730,31308.308620000,703.873133190
cpp,v5,1000000,3,1,0.3,1337,16,5,486.332979800,50.112906094,841.944860000,42.703629837,0.000000000,0.000000000,1328.277840000,64.215083660,3984.833520000,192.645250979
rust,v3,1000000,3,1,0.3,1337,1,5,461.852800000,29.367950647,13419.236220000,592.252198975,0.000000000,0.000000000,13881.089026666,609.006824537,41643.267080000,1827.020473609
rust,v4,1000000,3,1,0.3,1337,1,5,581.936580000,77.379301548,10354.861660000,602.490744301,0.000000000,0.000000000,10936.798233333,662.382395390,32810.394700000,1987.147186171
rust,v5,1000000,3,1,0.3,1337,16,5,587.949400000,54.441245791,954.799880000,93.571754553,0.000000000,0.000000000,1542.749280000,143.843960921,4628.247840000,431.531882763
cpp,v3,2000000,3,1,0.3,1337,1,5,924.288880000,92.972608974,23605.081146600,1952.917274174,0.000000000,0.000000000,24529.370026667,2036.944438591,73588.110080000,6110.833315774
cpp,v4,2000000,3,1,0.3,1337,1,5,999.722033200,69.884135973,21166.760186800,1075.401783968,0.000000000,0.000000000,22166.482220000,1140.854625268,66499.446660000,3422.563875803
cpp,v5,2000000,3,1,0.3,1337,16,5,1116.958720000,64.920633200,2001.837893400,88.613552519,0.000000000,0.000000000,3118.796613333,151.685829908,9356.389840000,455.057489724
rust,v3,2000000,3,1,0.3,1337,1,5,1072.903940000,46.860721168,29325.139720000,1508.648250232,0.000000000,0.000000000,30398.043653333,1553.088430512,91194.130960000,4659.265291535
rust,v4,2000000,3,1,0.3,1337,1,5,1190.015880000,111.175303788,22797.789640000,1827.919364628,0.000000000,0.000000000,23987.805540000,1937.406136308,71963.416620000,5812.218408926
rust,v5,2000000,3,1,0.3,1337,16,5,1317.022860000,162.092847861,2155.857320000,194.582998043,0.000000000,0.000000000,3472.880186666,346.111122320,10418.640560000,1038.333366959
cpp,v3,5000000,3,1,0.3,1337,1,5,2761.717779800,202.724327728,67197.794100200,3847.075623016,0.000000000,0.000000000,69959.511880000,4049.423702513,209878.535640000,12148.271107540
cpp,v4,5000000,3,1,0.3,1337,1,5,3092.742180200,127.763353409,65109.435273400,2681.445589027,0.000000000,0.000000000,68202.177453333,2805.562846420,204606.532360000,8416.688539259
cpp,v5,5000000,3,1,0.3,1337,16,5,2974.881673400,173.088505729,5525.573806600,237.540261536,0.000000000,0.000000000,8500.455480000,410.431783361,25501.366440000,1231.295350082
rust,v3,5000000,3,1,0.3,1337,1,5,2883.927780000,65.192593685,76608.486980000,1506.412410087,0.000000000,0.000000000,79492.414760000,1569.243953226,238477.244280000,4707.731859679
rust,v4,5000000,3,1,0.3,1337,1,5,3353.556000000,86.222568676,63240.371180000,1707.911849021,0.000000000,0.000000000,66593.927140000,1792.035522932,199781.781420000,5376.106568795
rust,v5,5000000,3,1,0.3,1337,16,5,3351.230680000,101.242593176,5819.114160000,216.323799839,0.000000000,0.000000000,9170.344840000,316.641045347,27511.034520000,949.923136042
