language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,2000000,3,1,0.3,1337,1,5,924.288880000,92.972608974,23605.081146600,1952.917274174,0.000000000,0.000000000,24529.370026667,2036.944438591,73588.110080000,6110.833315774
cpp,v4,2000000,3,1,0.3,1337,1,5,999.722033200,69.884135973,21166.760186800,1075.401783968,0.000000000,0.000000000,22166.482220000,1140.854625268,66499.446660000,3422.563875803
cpp,v5,2000000,3,1,0.3,1337,16,5,1116.958720000,64.920633200,2001.837893400,88.613552519,0.000000000,0.000000000,3118.796613333,151.685829908,9356.389840000,455.057489724
rust,v3,2000000,3,1,0.3,1337,1,5,1072.903940000,46.860721168,29325.139720000,1508.648250232,0.000000000,0.000000000,30398.043653333,1553.088430512,91194.130960000,4659.265291535
rust,v4,2000000,3,1,0.3,1337,1,5,1190.015880000,111.175303788,22797.789640000,1827.919364628,0.000000000,0.000000000,23987.805540000,1937.406136308,71963.416620000,5812.218408926
rust,v5,2000000,3,1,0.3,1337,16,5,1317.022860000,162.092847861,2155.857320000,194.582998043,0.000000000,0.000000000,3472.880186666,346.111122320,10418.640560000,1038.333366959
