language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,5000000,3,1,0.3,1337,1,5,2761.717779800,202.724327728,67197.794100200,3847.075623016,0.000000000,0.000000000,69959.511880000,4049.423702513,209878.535640000,12148.271107540
cpp,v4,5000000,3,1,0.3,1337,1,5,3092.742180200,127.763353409,65109.435273400,2681.445589027,0.000000000,0.000000000,68202.177453333,2805.562846420,204606.532360000,8416.688539259
cpp,v5,5000000,3,1,0.3,1337,16,5,2974.881673400,173.088505729,5525.573806600,237.540261536,0.000000000,0.000000000,8500.455480000,410.431783361,25501.366440000,1231.295350082
rust,v3,5000000,3,1,0.3,1337,1,5,2883.927780000,65.192593685,76608.486980000,1506.412410087,0.000000000,0.000000000,79492.414760000,1569.243953226,238477.244280000,4707.731859679
rust,v4,5000000,3,1,0.3,1337,1,5,3353.556000000,86.222568676,63240.371180000,1707.911849021,0.000000000,0.000000000,66593.927140000,1792.035522932,199781.781420000,5376.106568795
rust,v5,5000000,3,1,0.3,1337,16,5,3351.230680000,101.242593176,5819.114160000,216.323799839,0.000000000,0.000000000,9170.344840000,316.641045347,27511.034520000,949.923136042
