language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,10000,3,1,0.2,1337,1,5,1.205513000,0.007369668,58.093200000,2.217196567,0.000000000,0.000000000,59.298713333,2.213520171,177.896140000,6.640560515
rust,v3,10000,3,1,0.2,1337,1,5,1.320080000,0.027369819,64.986320000,1.109991670,0.000000000,0.000000000,66.306406667,1.122478588,198.919220000,3.367435766
