index,acc_x,acc_y
0,1.288860083,0.213519156
1,0.496600211,-1.267278910
2,-1.273855567,0.596903741
3,1.945391297,0.127885520
4,1.553965926,-1.237331986
5,-0.103580922,0.446514308
6,-0.796725810,2.222295761
7,1.816258550,2.312065363
8,-1.054931283,0.020780489
9,0.515605330,-1.204141498
10,-0.094482958,0.311030358
11,-0.716673613,1.103721023
12,0.752011061,-1.335851669
13,-0.215386733,0.885540724
14,0.226663202,0.644129872
15,0.232786402,0.333390802
16,1.681309700,-0.556462944
17,-1.662523866,-1.713971257
18,-1.244241953,1.061388731
19,-0.130256563,0.186691850
20,-2.781134605,-0.623900473
21,0.344214469,-0.102281794
22,0.523448467,1.244469643
23,-0.739007533,0.074864522
24,0.620642602,0.330534965
25,-0.032062009,-0.520430505
26,0.577685654,0.101604722
27,0.441769779,0.839746177
28,-0.844457924,-0.321464986
29,-0.445327997,0.169491425
30,-0.531010449,0.137728989
31,0.939260244,1.828776836
32,2.105366468,1.146783829
33,-0.166502774,0.699489951
34,-0.036230806,-1.361975908
35,-0.478039056,0.254851520
36,-1.211145282,-0.773742020
37,-2.803665876,0.756446481
38,0.031312145,-0.153826371
39,0.317718834,-0.127816021
40,1.659770966,0.169759586
41,0.340479612,1.606412411
42,-0.693411946,0.561592817
43,-0.064142570,-1.283538103
44,1.155310154,0.376476169
45,-1.833390594,-1.104558468
46,-0.016664358,0.223143488
47,0.310068637,0.481957585
48,2.107210875,-1.704216123
49,-2.308794975,2.084917545
50,1.006408811,-0.470127583
51,-1.586523056,1.061786294
52,2.606640816,0.112799756
53,-0.720471501,-0.297875762
54,0.687303722,-0.895813882
55,0.147555694,-0.193019092
56,-0.384386748,1.591405749
57,-1.134124637,-0.548035383
58,-0.131788835,1.772971034
59,1.822496414,0.129328579
60,1.400517464,0.050327834
61,1.447700381,0.866541922
62,0.801458776,-0.217403263
63,2.168910980,-0.908292234
64,-1.536268115,0.540260732
65,-0.329723597,-0.479939610
66,0.436348408,0.166827992
67,-0.288345158,-0.228726268
68,0.780105114,-0.062549241
69,0.256218165,0.600786805
70,1.881047010,-1.301838517
71,-0.750825822,1.044313550
72,-0.977038801,1.739812136
73,0.223846570,0.664072454
74,-0.368753970,-2.612673283
75,1.998669505,-1.939484239
76,-1.046966553,-0.950145364
77,-4.389401436,0.214045227
78,1.051949501,0.369054407
79,-1.784944773,-2.093758583
80,-1.272741318,-1.679896474
81,-0.762515247,-0.157328919
82,-0.480340302,-0.782775462
83,0.403984278,-0.052562624
84,0.157901332,-0.054399051
85,-1.405538559,-1.058161974
86,-1.242888093,1.604928017
87,2.694109917,-2.622391939
88,0.964900732,-2.290258884
89,-3.554652929,-2.406886578
90,0.542420208,-0.536395967
91,-1.480207443,-2.513604164
92,-0.540146112,0.744113207
93,-0.105872840,0.664181948
94,-1.527193546,1.596242905
95,2.720549822,-1.470170617
96,-0.306391090,0.230210274
97,0.953502536,0.988579750
98,1.118117094,0.567732573
99,0.252051234,0.107263289
100,-1.242669821,4.119935513
101,-1.077255368,-0.324478775
102,-1.517861128,0.402300358
103,-0.816577435,2.576011181
104,0.340869278,-0.061879739
105,-0.033960097,0.070495158
106,0.326809108,0.235977754
107,-0.267415822,0.708047032
108,0.376578569,1.369656563
109,-0.744743705,-0.332710266
110,1.756891489,-0.084410325
111,1.494318247,1.929391265
112,-1.649989724,0.478058159
113,2.241083860,1.999010682
114,1.757676601,-1.736076236
115,-0.702410042,-0.477729797
116,-0.110634364,1.881887078
117,-1.470403910,-1.001927137
118,-0.250772536,0.217693284
119,1.244045615,-0.463157892
120,-0.111396492,0.513815761
121,1.552602887,2.433957100
122,-1.255678177,1.672616363
123,-1.909011126,-1.607256293
124,0.602715969,-1.027670503
125,1.336778045,1.717394710
126,-3.619450092,0.622221172
127,-0.216463923,-1.874818921
128,-2.704580545,-1.479322433
129,0.132192492,-1.195893168
130,-0.405526400,-1.448284149
131,0.105352677,1.754467726
132,1.258632302,0.204021037
133,0.527246296,0.242110163
134,0.353138566,0.256089717
135,-0.312235624,0.046659011
136,-0.645285487,-0.300188541
137,-1.844785333,1.528640032
138,-0.316785216,0.198345959
139,1.095241785,0.377913803
140,-1.262372375,0.905791342
141,-0.872010529,0.239314377
142,-0.164842516,-0.115173444
143,-1.452517986,0.264853358
144,3.563928843,-2.608591557
145,0.104817137,0.434419841
146,-0.677617908,-0.209939092
147,-1.083782315,-1.206947327
148,-1.201246977,-0.272193342
149,0.935848534,-1.399680376
150,-0.102862716,-0.739691198
151,-0.138838008,-0.679400444
152,0.170599014,0.737416208
153,-0.208597705,1.403053045
154,1.029961705,-0.921292186
155,-0.785909295,1.087189317
156,-1.177086353,-0.043008819
157,-0.745344281,-0.460676730
158,1.643559933,-1.318916082
159,-0.575021803,-1.179871082
160,-0.046709392,-1.256780744
161,-0.331765950,-0.297810525
162,1.824394584,-0.293317795
163,-0.081315987,1.371691823
164,-0.281930774,-1.592991114
165,-0.514983833,-0.087595187
166,2.292625427,-1.200181484
167,0.795360208,1.084438324
168,-1.972162247,1.879190922
169,2.654983759,-0.916966200
170,0.829659879,0.756821454
171,-0.869149745,1.005603313
172,-0.849087536,1.034032822
173,0.686864436,0.753528297
174,-0.837600470,-2.139652491
175,-0.992112458,-1.270453095
176,1.769316912,0.158582926
177,-0.503533006,0.598389089
178,-0.398609310,-0.727221310
179,-2.066782951,-1.605324984
180,2.059599876,0.450587451
181,-1.184897542,-0.835095286
182,-0.331684113,-0.682529211
183,1.187373519,1.235934973
184,1.301520824,0.257094949
185,1.908827424,-0.614079654
186,0.242913529,-0.466730267
187,1.969316721,1.458500504
188,0.661970496,-0.024183987
189,1.217330098,-0.493186504
190,0.761851370,0.102003358
191,-0.892086804,0.487972051
192,-0.884165585,-0.422298759
193,0.016219195,-1.545722008
194,1.360078931,1.460704803
195,2.313511848,-1.411135077
196,0.696514845,-0.300898969
197,-0.578135788,-0.369081229
198,0.504617691,-0.668750882
199,-2.491641521,-0.723151922
200,1.772764325,-0.035330791
201,-0.476595968,0.250774652
202,0.364630193,0.287325174
203,0.309054613,-0.976267159
204,0.142204687,-1.445224762
205,0.624479711,-0.278968155
206,1.064653754,-0.001278652
207,-2.187686920,-1.364014745
208,0.283783227,-0.537829041
209,-1.242850304,-1.513307810
210,-0.511554956,0.742570937
211,0.363805145,-1.027942419
212,-0.253287882,-0.662274837
213,-0.638275266,-0.246742517
214,-0.945111036,0.166850701
215,0.662975729,-0.921656072
216,-2.061204910,-0.131780103
217,1.971949935,-3.800739527
218,-0.251734287,0.078977488
219,-2.407497168,-0.724619389
220,2.006406546,-1.002731562
221,-0.205738395,0.331826717
222,1.623925090,-0.181144878
223,2.673008680,0.489343137
224,-3.936656237,-2.707247972
225,-1.532313347,-1.157597542
226,2.894901276,-0.332468718
227,1.688934326,0.782722175
228,0.192369580,1.200472236
229,-0.861249328,0.963160753
230,-0.119806491,2.153882027
231,0.011289907,-1.844695926
232,2.268496990,1.674056768
233,-3.093109846,0.376909465
234,1.812092662,-2.024692774
235,1.207921982,2.521372318
236,0.855719745,0.998470187
237,-0.535140634,-3.592975378
238,0.794010282,0.371694535
239,1.023404121,0.041711401
240,-0.768551111,1.369404554
241,-1.479769945,0.145600483
242,0.296969146,-0.580464125
243,-0.548838615,1.387859583
244,-1.196419954,0.729261875
245,-1.402782798,-0.527813077
246,0.065577023,-0.253849685
247,-0.439707339,0.018590381
248,-0.722023487,0.612338305
249,1.158314586,0.994201124
250,0.564533710,1.763918757
251,1.156540513,-0.302095383
252,-1.782093406,0.588343918
253,1.440003276,-1.800389171
254,0.134095803,-0.392122954
255,-1.189999580,-1.260431767
256,3.145354986,-0.334311664
257,0.000210719,-0.101969466
258,-0.547470510,-0.112132594
259,-0.041126568,0.248588637
260,-2.010872841,2.930246115
261,0.093332402,-0.139097586
262,-0.113562070,-0.365179390
263,0.869142711,2.194285870
264,1.264343381,0.861062825
265,1.208389640,-0.836659968
266,0.222476557,-0.276009709
267,-0.103530325,0.190751880
268,0.118870482,-0.180637971
269,0.519204736,-2.196219206
270,0.349733919,0.202428520
271,-0.048289452,-0.686881721
272,-0.220272943,-1.755123019
273,2.090488672,2.468194723
274,0.046285216,0.275273532
275,0.201275527,-0.365858823
276,1.243394613,0.547278762
277,-0.623775303,-1.309499860
278,-4.534904003,-0.217721596
279,-0.558753908,0.145891473
280,0.013460345,0.271332741
281,-1.866994739,0.983888507
282,0.744899809,-0.325768799
283,-0.659230888,-0.800526083
284,-0.194525138,-0.045128863
285,0.514321327,0.635177374
286,0.520165384,-1.806689620
287,-0.355304062,0.877020538
288,0.330716521,0.583452404
289,0.094796784,-0.577899456
290,2.209186316,-1.924988151
291,-0.045040801,-0.245103344
292,-2.143815041,0.687628090
293,-1.002026320,0.234215900
294,0.674202621,1.545186400
295,0.027045216,-0.310363114
296,0.557108700,0.006706417
297,0.335812837,-0.126180351
298,-0.518697202,0.103195779
299,-0.545085967,1.278864026
300,-1.506476283,-2.848766327
301,0.802345991,0.284392118
302,0.040274609,0.176658645
303,1.190396428,-0.449344695
304,-0.236350849,-0.631681800
305,0.151221350,1.272922516
306,0.153274432,0.101424940
307,-0.640117705,1.141044974
308,-0.829089046,-0.950586855
309,0.095461152,-1.081631422
310,1.376193285,0.983524799
311,0.021163348,-2.998194218
312,0.829027712,-3.554768085
313,-0.098622210,-0.154862329
314,1.535229445,-1.625996947
315,0.101718359,1.566353798
316,-0.149761006,-0.309023619
317,-0.671191335,0.436429590
318,0.112801202,-0.004543380
319,2.247831106,1.128725052
320,0.301458806,-0.776714027
321,-0.010964498,-0.207179859
322,1.355455279,-0.251544774
323,-0.019957328,-0.970555246
324,1.818209887,-1.145795226
325,0.249262959,0.154259995
326,0.912673593,0.432114929
327,0.338003397,-0.590429485
328,0.733021200,-0.161482677
329,-1.534102440,-1.835056663
330,-1.530014634,-1.073924065
331,0.756910026,0.221077770
332,1.339632869,-3.146518469
333,-1.668289185,1.693579555
334,-2.954948664,4.199180603
335,1.896874905,-2.419677734
336,-1.334224582,0.216311067
337,1.399358392,-0.097465366
338,1.235799670,0.859173179
339,-0.872950912,-2.152870893
340,0.228152007,-0.365520060
341,-0.024353208,-1.321246386
342,0.991704643,2.051860571
343,-0.084433556,-1.314038515
344,0.238747627,-0.589575052
345,1.011252642,-0.287003726
346,-1.152837038,1.615823627
347,2.078557730,-0.025590023
348,-0.112836145,-0.037554305
349,0.601520836,2.088649750
350,0.012531573,-1.881540656
351,-0.874384701,-1.551233768
352,-1.545952678,-0.129869282
353,0.599658370,1.038277864
354,1.098812461,-0.300936282
355,1.981217742,1.254173636
356,0.560448527,2.652489901
357,-0.103177033,0.735245347
358,-0.279073000,-0.958446503
359,0.712825119,1.403727293
360,-0.110405982,0.517588735
361,0.669410586,-0.586436212
362,-0.858778238,-1.118881226
363,0.156650662,0.881192148
364,1.029675961,0.210446253
365,-0.822948217,-0.377614647
366,1.209557176,-2.673432112
367,-2.173734426,0.891928017
368,0.711800814,-1.055072904
369,1.873557687,-1.607784271
370,-0.658054650,0.512483001
371,0.225572258,0.114069715
372,0.576893270,0.136036634
373,-0.184967801,0.368914455
374,-0.316914916,-0.136470839
375,1.715271115,-0.360352129
376,0.665314615,2.115922689
377,0.635812283,-0.050323039
378,0.316287935,0.267091185
379,0.103412971,0.191703483
380,0.855426252,1.351817250
381,-1.385845900,0.968372107
382,-0.095184572,-0.267210543
383,-0.131797910,-2.382172585
384,1.032923341,-0.180713356
385,0.631231904,-0.665653884
386,0.695432723,1.468029737
387,-0.771162868,-0.746982098
388,-0.367320716,-3.130793571
389,-0.270751297,-0.567483842
390,3.292434216,-2.177128553
391,-0.613121748,-0.521700978
392,2.903379679,-0.282839924
393,0.977014184,-2.464182854
394,0.916339755,0.164574683
395,3.814107656,1.038276672
396,-0.113053061,-3.024712563
397,0.021354634,-1.558879256
398,-0.118996061,-0.342310280
399,-1.328289628,-0.298146635
400,-0.709091902,-0.771209061
401,-0.715003729,-0.592736602
402,1.552822948,-0.642946482
403,0.090559989,-0.134207994
404,1.779839396,2.415414095
405,0.393948495,0.611167133
406,0.375608325,1.119983435
407,2.303102732,0.955084264
408,1.086492181,-0.880543649
409,-0.128869206,-2.160728216
410,-0.501639783,-0.654618442
411,0.043960724,0.849807620
412,1.234325528,-0.596592486
413,-0.634981155,1.841931224
414,-0.242322430,0.878137290
415,3.463746786,-0.679979086
416,-0.108807541,-0.632057846
417,0.523803771,0.218047678
418,1.088588238,-0.498785436
419,0.307309449,3.262072802
420,-0.587489605,3.305747271
421,0.103335179,-0.166920736
422,0.140379205,-0.073487923
423,0.393235058,0.061303847
424,-1.258477926,-0.801264048
425,-1.468622088,4.473066330
426,-1.299450874,1.082049608
427,0.013732779,-0.454950303
428,0.602809072,-0.319287151
429,-1.132737398,-0.781236351
430,0.217986152,0.295246422
431,-0.614042938,0.266859084
432,-0.236472860,-0.195352837
433,-1.495017409,-0.809179485
434,0.186078563,-0.183359459
435,-2.816981077,0.461842149
436,-1.483850718,0.480533451
437,1.022150040,1.476398230
438,1.754078507,-1.525503874
439,-1.696598053,-0.233875647
440,1.198188186,-0.205596566
441,-0.058456577,0.893678367
442,0.064892069,1.888661027
443,-1.047018051,0.258656263
444,0.634177923,0.208701536
445,3.225295305,0.488058537
446,-0.871650815,-0.365361363
447,1.884424806,-0.597618341
448,-1.597082376,-1.896595836
449,-0.386408269,-0.338028073
450,0.875644088,3.013398647
451,-2.094882250,0.319734126
452,-1.775019288,0.261989236
453,0.585316658,1.501690269
454,-0.828717768,0.142523274
455,-1.444249153,0.420654088
456,0.748703301,-0.339985073
457,-0.359705418,-0.327585816
458,0.640771449,0.011268867
459,-0.422330976,1.110940218
460,-0.939815998,-0.518418729
461,0.242456615,-0.309152663
462,-1.020930767,-1.306839228
463,-0.441342056,-1.793470740
464,0.332336843,0.618539155
465,1.151202202,1.096008062
466,2.342227221,2.136273861
467,0.370431602,0.994903803
468,2.512331247,-4.437545300
469,0.045194071,0.557907045
470,-0.267029136,-1.748002052
471,0.135637492,0.112303756
472,1.584003687,-0.844374597
473,0.239200324,0.387273788
474,0.239210859,-0.521883368
475,-0.059554007,-0.250516683
476,0.011822428,-2.073853016
477,3.225172281,0.616776764
478,0.699798286,0.133162767
479,-0.940223515,-0.643550456
480,-2.298378229,0.095729686
481,0.621870100,-0.421708792
482,0.943788290,-0.593102813
483,1.085519791,2.851039410
484,-0.048817072,-1.420221210
485,-1.019785523,-0.067467198
486,-0.085497558,3.234715462
487,1.245490909,0.406847119
488,0.593991101,1.371004462
489,-0.234950885,0.068289198
490,1.357644200,-0.606832981
491,-1.950940132,0.881117165
492,0.289292812,0.024279429
493,-0.096143581,0.248369336
494,-0.028328177,-0.447639823
495,-0.993525028,1.734529138
496,1.791892409,0.562352419
497,0.142055452,-0.262821704
498,-0.459132850,1.769525409
499,-0.181615666,0.086416773
500,-0.710565269,-2.664753199
501,-0.650804400,0.121013395
502,0.475820333,-1.400210261
503,-0.733278513,0.778018951
504,-1.252684832,0.285985678
505,-0.732483208,-1.955574632
506,0.369104594,1.781459808
507,0.335733056,-0.900956810
508,0.276215732,0.178559363
509,-0.804322004,1.999382138
510,-1.351411939,-0.740754962
511,0.510251403,1.551810026
512,0.194414869,0.345650375
513,-0.195362523,-0.489532053
514,0.086949639,-2.299335718
515,0.084153555,0.437513053
516,2.559238195,-0.622447670
517,0.084177360,0.148417503
518,-0.357480079,2.985664606
519,-0.749570549,0.734545410
520,0.753798544,-1.625797033
521,-0.754491448,0.331830949
522,-0.208097890,1.418943048
523,1.248621106,0.263013899
524,2.650612116,-0.245616347
525,-1.015963316,-0.898438454
526,-0.310172290,-0.888847113
527,-1.250768661,-0.412055999
528,-0.719252527,-1.141551375
529,3.324045658,0.623035014
530,0.280520529,-0.599990785
531,0.126103878,-0.144634053
532,2.311187029,-0.694747865
533,0.481418669,-1.045540094
534,2.429765224,-0.896379650
535,0.867418706,-0.509521663
536,-0.201068193,2.437043905
537,2.192218065,-1.265455842
538,1.467024088,0.758088827
539,-0.284523487,0.547697425
540,0.266376108,-1.464506865
541,-0.967016220,1.243186355
542,-0.412207037,0.049039740
543,3.479871273,0.915190935
544,0.756203234,0.368763864
545,-0.406602651,-0.233071223
546,-1.399713397,0.257956862
547,0.448654741,0.166288123
548,0.711164594,-1.155079365
