language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,10000,3,1,0.1,1337,1,5,1.242513400,0.014112321,258.437466600,1.360765704,0.000000000,0.000000000,259.679980000,1.360956995,779.039940000,4.082870984
rust,v3,10000,3,1,0.1,1337,1,5,1.365760000,0.057575238,318.030300000,28.187625040,0.000000000,0.000000000,319.396073333,28.243245723,958.188220000,84.729737170
cpp,v3,10000,3,1,0.2,1337,1,5,1.264673200,0.087414453,85.902306800,3.356057490,0.000000000,0.000000000,87.166980000,3.369891190,261.500940000,10.109673570
rust,v3,10000,3,1,0.2,1337,1,5,1.402440000,0.100384127,101.264980000,14.330210803,0.000000000,0.000000000,102.667420000,14.397131923,308.002260000,43.191395768
cpp,v3,10000,3,1,0.3,1337,1,5,1.317933600,0.054819822,44.576219800,1.957763731,0.000000000,0.000000000,45.894153333,1.994968031,137.682460000,5.984904093
rust,v3,10000,3,1,0.3,1337,1,5,1.395540000,0.052995877,47.390320000,1.792399762,0.000000000,0.000000000,48.785853334,1.826724328,146.357560000,5.480172983
cpp,v3,10000,3,1,0.5,1337,1,5,1.233146600,0.041240649,17.543860200,0.569738277,0.000000000,0.000000000,18.777006667,0.560078651,56.331020000,1.680235951
rust,v3,10000,3,1,0.5,1337,1,5,1.310100000,0.014186790,19.463640000,0.555583687,0.000000000,0.000000000,20.773760000,0.555363213,62.321280000,1.666089640
cpp,v3,10000,3,1,0.7,1337,1,5,1.344533400,0.162176686,10.785720200,0.988389662,0.000000000,0.000000000,12.130253333,1.148457086,36.390760000,3.445371258
rust,v3,10000,3,1,0.7,1337,1,5,1.439380000,0.113522496,12.169780000,0.930500259,0.000000000,0.000000000,13.609160000,1.020162712,40.827480000,3.060488135
