index,acc_x,acc_y
0,1.240302444,0.141057506
1,0.472069532,-1.201783061
2,-1.255276203,0.519337475
3,1.857096076,0.110200770
4,1.432285786,-1.154503465
5,-0.193384483,0.277791440
6,-0.661962032,2.203800678
7,1.861165285,1.943457007
8,-1.057803869,0.105616286
9,0.467073113,-1.169558048
10,-0.071048215,0.269804925
11,-0.521246731,1.190664530
12,0.596559823,-1.178235769
13,-0.188852981,0.838858306
14,0.038991656,0.648700535
15,0.221726388,0.311119884
16,1.608150601,-0.475351542
17,-1.538602948,-1.837044001
18,-1.253834248,0.963854432
19,-0.119922370,0.179699138
20,-2.649023294,-0.589337111
21,0.337293148,-0.100300416
22,0.512665510,1.211210966
23,-0.652052581,0.072542742
24,0.574520171,0.255913347
25,0.001832183,-0.484423161
26,0.550095260,-0.006030227
27,0.435609907,0.770422280
28,-0.809886038,-0.331367075
29,-0.432215899,0.173680320
30,-0.495905846,0.120590955
31,0.986791968,1.719831347
32,2.063237906,1.035751939
33,-0.170744836,0.678678215
34,-0.056410473,-1.302160501
35,-0.450909615,0.253273070
36,-0.905974269,-0.768442154
37,-2.781357288,0.749192536
38,0.030732643,-0.147664666
39,0.297576070,-0.123359621
40,1.436483502,0.085608535
41,0.541233063,1.538983822
42,-0.647961795,0.542558134
43,-0.017769050,-1.197656035
44,1.087654233,0.378882349
45,-1.778095126,-1.090098500
46,-0.016178191,0.210454866
47,0.302194178,0.467416316
48,2.050224543,-1.604403615
49,-2.382939816,2.097069979
50,0.900192618,-0.450221330
51,-1.498087287,1.024889350
52,2.529418468,0.117622733
53,-0.651473999,-0.279669762
54,0.656250000,-0.858133793
55,0.135667339,-0.179536358
56,-0.417800426,1.287041545
57,-0.953195155,-0.460367978
58,-0.076326527,1.753003836
59,1.741995692,0.053108159
60,1.317394376,0.111654483
61,1.341506362,0.856314421
62,0.758533657,-0.219517887
63,2.072496653,-0.776485443
64,-1.342802048,0.364157379
65,-0.307941794,-0.456625134
66,0.401324362,0.139305726
67,-0.262508661,-0.088454939
68,0.735912442,-0.061957449
69,0.198534012,0.524330854
70,1.579160213,-1.136325836
71,-0.721442223,0.979830205
72,-0.849467278,1.679496884
73,0.185858056,0.612377822
74,-0.356906772,-2.465440512
75,1.898360372,-1.937068701
76,-1.024594903,-0.909622848
77,-4.325091839,0.240742773
78,1.042701960,0.273139149
79,-1.885624886,-1.940544605
80,-1.323138475,-1.543170333
81,-0.715310991,-0.157717481
82,-0.532678187,-0.781699240
83,0.387229502,-0.047123641
84,0.152780250,-0.052431557
85,-1.342784524,-0.833287418
86,-1.175699472,1.667701721
87,2.554241896,-2.787938356
88,0.898289680,-2.151557922
89,-3.485053778,-2.446405411
90,0.510196388,-0.490806669
91,-1.336783051,-2.541470766
92,-0.514974952,0.704035103
93,-0.095734455,0.601776183
94,-1.523548722,1.490348220
95,2.896026850,-1.190029263
96,-0.292199105,0.220411852
97,0.921301425,0.904387355
98,1.153967023,0.518543363
99,0.237583697,0.103501581
100,-1.268459916,4.138991833
101,-1.021287441,-0.341359913
102,-1.552806020,0.336290866
103,-0.882865489,2.447773695
104,0.308500856,-0.054066099
105,-0.018782845,0.064916931
106,0.322577626,0.224279970
107,-0.340943247,0.830523372
108,0.386650443,1.363309264
109,-0.678391397,-0.311929643
