language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,10000,3,1,0.1,1337,1,5,1.215993400,0.016086978,178.405320200,1.932574899,0.000000000,0.000000000,179.621313333,1.932250976,538.863940000,5.796752928
rust,v3,10000,3,1,0.1,1337,1,5,1.310540000,0.018930082,211.155180000,4.246087313,0.000000000,0.000000000,212.465720000,4.264264822,637.397160000,12.792794465
cpp,v3,10000,3,1,0.2,1337,1,5,1.205513000,0.007369668,58.093200000,2.217196567,0.000000000,0.000000000,59.298713333,2.213520171,177.896140000,6.640560515
rust,v3,10000,3,1,0.2,1337,1,5,1.320080000,0.027369819,64.986320000,1.109991670,0.000000000,0.000000000,66.306406667,1.122478588,198.919220000,3.367435766
cpp,v3,10000,3,1,0.3,1337,1,5,1.214300000,0.026443328,28.639093200,0.344639265,0.000000000,0.000000000,29.853393333,0.352149775,89.560180000,1.056449325
rust,v3,10000,3,1,0.3,1337,1,5,1.300000000,0.029919809,31.687400000,0.413350311,0.000000000,0.000000000,32.987440000,0.429592988,98.962320000,1.288778964
cpp,v3,10000,3,1,0.5,1337,1,5,1.212620000,0.042830704,12.647239800,0.285943482,0.000000000,0.000000000,13.859860000,0.318877679,41.579580000,0.956633037
rust,v3,10000,3,1,0.5,1337,1,5,1.377780000,0.073890676,13.737220000,0.271090219,0.000000000,0.000000000,15.115006666,0.323998989,45.345020000,0.971996969
cpp,v3,10000,3,1,0.7,1337,1,5,1.197773400,0.017392055,7.414153200,0.078845877,0.000000000,0.000000000,8.611926667,0.081398770,25.835780000,0.244196308
rust,v3,10000,3,1,0.7,1337,1,5,1.310700000,0.042824000,8.050940000,0.101478485,0.000000000,0.000000000,9.361640000,0.139772984,28.084920000,0.419318950
