language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,10000,3,1,0.1,1337,1,5,1.215993400,0.016086978,178.405320200,1.932574899,0.000000000,0.000000000,179.621313333,1.932250976,538.863940000,5.796752928
rust,v3,10000,3,1,0.1,1337,1,5,1.310540000,0.018930082,211.155180000,4.246087313,0.000000000,0.000000000,212.465720000,4.264264822,637.397160000,12.792794465
