language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,1000000,3,1,0.3,1337,1,5,402.057746600,23.131133357,10671.373973200,579.457554008,0.000000000,0.000000000,11073.431720000,601.370681487,33220.295160000,1804.112044462
cpp,v4,1000000,3,1,0.3,1337,1,5,435.212979800,18.261604050,10000.889893200,237.614230237,0.000000000,0.000000000,10436.102873333,234.624377730,31308.308620000,703.873133190
cpp,v5,1000000,3,1,0.3,1337,16,5,486.332979800,50.112906094,841.944860000,42.703629837,0.000000000,0.000000000,1328.277840000,64.215083660,3984.833520000,192.645250979
rust,v3,1000000,3,1,0.3,1337,1,5,461.852800000,29.367950647,13419.236220000,592.252198975,0.000000000,0.000000000,13881.089026666,609.006824537,41643.267080000,1827.020473609
rust,v4,1000000,3,1,0.3,1337,1,5,581.936580000,77.379301548,10354.861660000,602.490744301,0.000000000,0.000000000,10936.798233333,662.382395390,32810.394700000,1987.147186171
rust,v5,1000000,3,1,0.3,1337,16,5,587.949400000,54.441245791,954.799880000,93.571754553,0.000000000,0.000000000,1542.749280000,143.843960921,4628.247840000,431.531882763
