language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v2,100000,5,2,0.3,1337,1,10,43.318782000,3.851483659,553.658550000,62.532056750,15.908168000,4.203521429,612.885500000,69.599749101,3064.427500000,347.998745506
cpp,v3,100000,5,2,0.3,1337,1,10,17.049098000,0.437864712,422.147454000,18.522240646,0.000000000,0.000000000,439.196552000,18.833278659,2195.982760000,94.166393295
cpp,v4,100000,5,2,0.3,1337,1,10,18.971414000,0.763206832,396.352586000,10.092187505,0.000000000,0.000000000,415.324000000,10.699412561,2076.620000000,53.497062807
cpp,v5,100000,5,2,0.3,1337,16,10,19.051112000,0.816187508,37.074524000,2.280917041,0.000000000,0.000000000,56.125636000,2.991772606,280.628180000,14.958863030
rust,v2,100000,5,2,0.3,1337,1,10,39.573150000,2.966520562,500.817960000,21.868304088,12.300970000,1.645165180,552.692076000,25.417339536,2763.460380000,127.086697679
rust,v3,100000,5,2,0.3,1337,1,10,18.565900000,0.934569980,463.222800000,10.699561604,0.000000000,0.000000000,481.788694000,11.027305078,2408.943470000,55.136525391
rust,v4,100000,5,2,0.3,1337,1,10,20.962750000,2.048402587,387.815120000,9.608544372,0.000000000,0.000000000,408.777852000,10.547499679,2043.889260000,52.737498394
rust,v5,100000,5,2,0.3,1337,16,10,22.330310000,0.997135231,34.850900000,1.243178966,0.000000000,0.000000000,57.181212000,1.959187020,285.906060000,9.795935099
